occupation	participant	sentence	pronoun_type	word	pronoun	uid	confuse_pronoun	human_sentence
quản lý	khách hàng	Người quản lý vừa ăn một bữa thịnh soạn nên dạ dày của chị đã no. Quản lý đã theo dõi vụ lỗi thanh toán của nhà hàng $POSS_PRONOUN.	$POSS_PRONOUN	quản lý	chị	eo9		Người quản lý vừa ăn một bữa thịnh soạn nên dạ dày của chị đã no. Quản lý đã theo dõi vụ lỗi thanh toán của nhà hàng ___.
giáo viên	học sinh/sinh viên	Người giáo viên chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành chú. Giáo viên được hỏi liệu $PRONOUN có thể gia hạn bài tập không.	$PRONOUN	giáo viên	chú	eo14		Người giáo viên chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành chú. Giáo viên được hỏi liệu ___ có thể gia hạn bài tập không.
cố vấn	người được tư vấn	Người cố vấn vừa ăn một bữa thịnh soạn nên dạ dày của cô đã no. Cố vấn có cuộc họp để đưa ra lời khuyên của $POSS_PRONOUN về hồ sơ xin việc.	$POSS_PRONOUN	cố vấn	cô	eo9		Người cố vấn vừa ăn một bữa thịnh soạn nên dạ dày của cô đã no. Cố vấn có cuộc họp để đưa ra lời khuyên của ___ về hồ sơ xin việc.
nhà tâm lý học	bệnh nhân	Người nhà tâm lý học vui vì giày của hắn rất thoải mái. Nhà tâm lý học nói về ấn tượng ban đầu của $POSS_PRONOUN.	$POSS_PRONOUN	nhà tâm lý học	hắn	eo8		Người nhà tâm lý học vui vì giày của hắn rất thoải mái. Nhà tâm lý học nói về ấn tượng ban đầu của ___.
nhà tâm lý học	bệnh nhân	Người nhà tâm lý học không vui vì đôi giày mới không vừa với ông. Nhà tâm lý học có bảng câu hỏi để $PRONOUN có thể thực hiện đánh giá sơ bộ.	$PRONOUN	nhà tâm lý học	ông	eo13		Người nhà tâm lý học không vui vì đôi giày mới không vừa với ông. Nhà tâm lý học có bảng câu hỏi để ___ có thể thực hiện đánh giá sơ bộ.
thợ điện	chủ nhà	Người thợ điện đói vì bữa ăn cuối của cô đã cách đây nhiều giờ. Thợ điện chỉ ra rằng giá theo giờ của $POSS_PRONOUN chưa bao gồm chi phí bóng đèn.	$POSS_PRONOUN	thợ điện	cô	eo4		Người thợ điện đói vì bữa ăn cuối của cô đã cách đây nhiều giờ. Thợ điện chỉ ra rằng giá theo giờ của ___ chưa bao gồm chi phí bóng đèn.
trợ lý pháp lý	khách hàng	Người trợ lý pháp lý cần cà phê vì ngày của ông đã bắt đầu rất sớm. Trợ lý pháp lý được hỏi liệu công ty của $POSS_PRONOUN có xử lý các vụ kiện di trú không.	$POSS_PRONOUN	trợ lý pháp lý	ông	eo2		Người trợ lý pháp lý cần cà phê vì ngày của ông đã bắt đầu rất sớm. Trợ lý pháp lý được hỏi liệu công ty của ___ có xử lý các vụ kiện di trú không.
bác sĩ thú y	chủ sở hữu	Người bác sĩ thú y vừa uống cà phê vì ngày của chị bắt đầu muộn. Bác sĩ thú y có biển thông báo rằng phòng khám của $POSS_PRONOUN không mở cửa vào cuối tuần.	$POSS_PRONOUN	bác sĩ thú y	chị	eo7		Người bác sĩ thú y vừa uống cà phê vì ngày của chị bắt đầu muộn. Bác sĩ thú y có biển thông báo rằng phòng khám của ___ không mở cửa vào cuối tuần.
bác sĩ giải phẫu bệnh	nạn nhân	Người bác sĩ giải phẫu bệnh nén một cái ngáp; chị cảm thấy mệt mỏi. Bác sĩ giải phẫu bệnh cần kiểm tra mẫu máu vì $PRONOUN phải kiểm tra chất độc.	$PRONOUN	bác sĩ giải phẫu bệnh	chị	eo1		Người bác sĩ giải phẫu bệnh nén một cái ngáp; chị cảm thấy mệt mỏi. Bác sĩ giải phẫu bệnh cần kiểm tra mẫu máu vì ___ phải kiểm tra chất độc.
kiến trúc sư	học sinh/sinh viên	Người kiến trúc sư cần cà phê vì anh đã dậy rất sớm. Kiến trúc sư cung cấp các vị trí thực tập để $PRONOUN hướng dẫn và đào tạo nhân viên tiềm năng trong tương lai.	$PRONOUN	kiến trúc sư	anh	eo2		Người kiến trúc sư cần cà phê vì anh đã dậy rất sớm. Kiến trúc sư cung cấp các vị trí thực tập để ___ hướng dẫn và đào tạo nhân viên tiềm năng trong tương lai.
